iter	Passed	Remaining
0	158	158309
1	159	79473
2	159	53101
3	160	39903
4	160	32003
5	161	26723
6	161	22961
7	162	20129
8	162	17931
9	163	16183
10	163	14741
11	164	13542
12	165	12536
13	165	11662
14	166	10904
15	166	10242
16	167	9658
17	167	9138
18	167	8673
19	168	8252
20	169	7882
21	169	7536
22	170	7226
23	170	6941
24	171	6689
25	172	6451
26	172	6230
27	173	6024
28	174	5826
29	174	5640
30	174	5468
31	175	5311
32	176	5160
33	176	5017
34	177	4886
35	177	4758
36	178	4638
37	178	4525
38	179	4419
39	179	4316
40	180	4219
41	180	4127
42	181	4037
43	181	3951
44	182	3869
45	182	3794
46	183	3719
47	184	3650
48	184	3583
49	185	3516
50	185	3452
51	186	3393
52	186	3337
53	187	3281
54	187	3227
55	188	3175
56	188	3124
57	189	3074
58	189	3028
59	190	2982
60	190	2938
61	191	2894
62	191	2852
63	192	2812
64	192	2772
65	193	2734
66	193	2696
67	193	2657
68	194	2624
69	195	2591
70	195	2558
71	196	2526
72	196	2495
73	197	2466
74	197	2437
75	198	2407
76	198	2380
77	199	2353
78	199	2326
79	200	2301
80	200	2276
81	201	2252
82	201	2231
83	202	2208
84	202	2183
85	203	2162
86	203	2138
87	204	2117
88	204	2097
89	205	2076
90	205	2056
91	206	2037
92	206	2017
93	207	1999
94	207	1981
95	208	1963
96	208	1945
97	209	1929
98	210	1911
99	210	1894
100	211	1879
101	211	1860
102	211	1844
103	212	1828
104	212	1813
105	213	1798
106	213	1784
107	214	1770
108	215	1757
109	215	1744
110	216	1730
111	217	1721
112	217	1710
113	218	1698
114	219	1686
115	219	1673
116	220	1663
117	220	1651
118	221	1638
119	222	1628
120	222	1618
121	223	1607
122	223	1594
123	224	1584
124	224	1573
125	225	1564
126	226	1554
127	226	1542
128	226	1532
129	227	1522
130	228	1513
131	228	1503
132	229	1493
133	229	1484
134	230	1476
135	231	1467
136	231	1459
137	232	1451
138	232	1442
139	233	1434
140	234	1426
141	234	1417
142	235	1410
143	236	1403
144	236	1396
145	237	1388
146	238	1382
147	238	1375
148	239	1367
149	240	1361
150	240	1353
151	241	1346
152	241	1338
153	242	1331
154	242	1324
155	243	1317
156	244	1311
157	244	1304
158	245	1297
159	245	1290
160	246	1284
161	247	1278
162	247	1273
163	248	1267
164	249	1261
165	249	1254
166	250	1248
167	250	1242
168	251	1237
169	252	1232
170	253	1226
171	253	1221
172	254	1216
173	255	1210
174	255	1204
175	256	1199
176	256	1193
177	257	1188
178	258	1183
179	258	1178
180	259	1172
181	259	1167
182	260	1163
183	261	1158
184	261	1154
185	262	1149
186	263	1146
187	264	1142
188	265	1137
189	265	1132
190	266	1128
191	266	1123
192	267	1119
193	268	1115
194	269	1110
195	269	1106
196	270	1101
197	270	1097
198	271	1093
199	272	1089
200	272	1084
201	273	1080
202	274	1075
203	274	1072
204	275	1068
205	276	1064
206	277	1061
207	277	1057
208	278	1055
209	279	1051
210	280	1048
211	281	1044
212	281	1041
213	282	1038
214	283	1034
215	283	1030
216	284	1026
217	285	1023
218	286	1020
219	286	1016
220	287	1012
221	287	1008
222	288	1005
223	289	1001
224	290	999
225	290	995
226	291	992
227	291	988
228	292	984
229	293	982
230	294	979
231	294	976
232	295	973
233	296	969
234	296	966
235	297	963
236	298	960
237	299	957
238	299	954
239	300	951
240	301	948
241	301	945
242	302	942
243	303	939
244	303	936
245	304	933
246	305	929
247	305	926
248	306	923
249	307	921
250	307	918
251	308	915
252	309	913
253	310	911
254	310	908
255	311	905
256	312	902
257	313	900
258	313	897
259	314	894
260	315	891
261	315	889
262	316	886
263	317	883
264	317	881
265	318	878
266	319	876
267	319	873
268	320	870
269	321	868
270	321	865
271	322	863
272	323	861
273	324	858
274	324	856
275	325	854
276	326	852
277	327	849
278	327	847
279	328	845
280	329	843
281	330	841
282	331	838
283	331	836
284	332	834
285	333	831
286	333	829
287	334	826
288	335	824
289	335	822
290	336	819
291	337	817
292	337	815
293	338	813
294	339	811
295	340	809
296	340	806
297	341	804
298	342	802
299	342	800
300	343	798
301	344	795
302	344	793
303	345	791
304	346	789
305	347	787
306	347	785
307	348	783
308	349	781
309	350	779
310	350	777
311	351	775
312	352	773
313	352	771
314	353	769
315	354	767
316	355	765
317	356	763
318	356	761
319	357	759
320	358	757
321	358	755
322	359	753
323	360	751
324	360	749
325	361	747
326	362	745
327	363	743
328	363	741
329	364	739
330	365	738
331	365	736
332	366	734
333	367	732
334	367	730
335	368	728
336	369	726
337	370	725
338	371	723
339	371	722
340	372	720
341	373	718
342	374	717
343	375	715
344	376	714
345	376	712
346	377	710
347	378	709
348	379	707
349	380	706
350	381	704
351	382	703
352	382	701
353	383	700
354	384	698
355	385	697
356	386	695
357	386	693
358	387	692
359	388	690
360	389	688
361	390	687
362	390	685
363	391	684
364	392	682
365	392	680
366	393	678
367	394	677
368	395	675
369	395	674
370	396	672
371	397	670
372	398	669
373	399	667
374	400	666
375	401	665
376	401	663
377	402	662
378	403	660
379	404	659
380	404	657
381	405	656
382	406	654
383	406	652
384	407	651
385	408	649
386	408	647
387	409	646
388	410	644
389	411	643
390	411	641
391	412	639
392	413	638
393	414	637
394	415	635
395	415	634
396	416	632
397	417	631
398	418	629
399	418	628
400	419	626
401	420	625
402	421	623
403	421	622
404	422	621
405	423	619
406	424	618
407	425	616
408	425	615
409	426	613
410	427	612
411	427	610
412	428	609
413	429	607
414	430	606
415	431	605
416	431	603
417	432	602
418	433	600
419	434	599
420	434	598
421	435	596
422	436	595
423	437	594
424	438	592
425	438	591
426	439	589
427	440	588
428	441	587
429	441	585
430	442	584
431	443	582
432	444	581
433	445	580
434	445	578
435	446	577
436	447	575
437	447	574
438	448	572
439	448	571
440	449	569
441	450	568
442	451	567
443	452	566
444	452	564
445	453	563
446	454	562
447	455	560
448	455	559
449	456	558
450	457	556
451	458	555
452	459	554
453	459	552
454	460	551
455	461	550
456	462	549
457	462	547
458	463	546
459	464	545
460	465	543
461	465	542
462	466	541
463	467	540
464	468	538
465	468	537
466	469	536
467	470	534
468	471	533
469	471	532
470	472	530
471	473	529
472	474	528
473	474	526
474	475	525
475	476	524
476	477	523
477	477	521
478	478	520
479	479	519
480	480	518
481	480	516
482	481	515
483	482	514
484	483	513
485	484	512
486	485	510
487	485	509
488	486	508
489	487	507
490	488	506
491	489	504
492	489	503
493	490	502
494	491	501
495	492	500
496	493	498
497	493	497
498	494	496
499	495	495
500	496	494
501	496	492
502	497	491
503	498	490
504	499	489
505	499	488
506	500	486
507	501	485
508	502	484
509	502	483
510	503	481
511	504	480
512	505	479
513	506	478
514	506	477
515	507	476
516	508	475
517	509	473
518	510	472
519	510	471
520	511	470
521	512	468
522	513	467
523	513	466
524	514	465
525	515	464
526	516	463
527	516	462
528	517	460
529	518	459
530	519	458
531	520	457
532	520	456
533	521	455
534	522	454
535	523	453
536	524	452
537	525	450
538	526	449
539	526	448
540	527	447
541	528	446
542	529	445
543	530	444
544	531	443
545	532	442
546	532	441
547	533	440
548	534	439
549	535	438
550	536	436
551	537	435
552	537	434
553	538	433
554	539	432
555	540	431
556	540	430
557	541	429
558	542	427
559	543	426
560	543	425
561	544	424
562	545	423
563	546	422
564	546	421
565	547	419
566	548	418
567	549	417
568	550	416
569	550	415
570	551	414
571	552	413
572	553	412
573	554	411
574	555	410
575	556	409
576	557	408
577	558	407
578	559	406
579	560	406
580	561	405
581	562	404
582	563	403
583	564	402
584	565	401
585	566	400
586	567	399
587	567	397
588	568	397
589	569	395
590	570	394
591	571	393
592	572	392
593	573	391
594	574	390
595	575	389
596	576	388
597	577	388
598	578	387
599	579	386
600	580	385
601	581	384
602	582	383
603	582	382
604	583	381
605	584	379
606	585	378
607	585	377
608	586	376
609	587	375
610	588	374
611	589	373
612	589	372
613	590	371
614	591	370
615	592	369
616	592	368
617	593	367
618	594	366
619	595	365
620	596	364
621	597	363
622	598	362
623	599	361
624	599	359
625	600	358
626	601	357
627	602	356
628	602	355
629	603	354
630	604	353
631	605	352
632	605	351
633	606	350
634	607	349
635	608	348
636	609	347
637	609	346
638	610	345
639	611	344
640	612	343
641	613	341
642	613	340
643	614	339
644	615	338
645	616	337
646	616	336
647	617	335
648	618	334
649	619	333
650	620	332
651	620	331
652	621	330
653	622	329
654	623	328
655	623	327
656	624	326
657	625	325
658	626	324
659	627	323
660	627	322
661	628	320
662	629	319
663	630	318
664	631	317
665	631	316
666	632	315
667	633	314
668	634	313
669	635	312
670	635	311
671	636	310
672	637	309
673	638	308
674	639	307
675	640	306
676	640	305
677	641	304
678	642	303
679	643	302
680	643	301
681	644	300
682	645	299
683	646	298
684	646	297
685	647	296
686	648	295
687	649	294
688	650	293
689	651	292
690	651	291
691	652	290
692	653	289
693	654	288
694	655	287
695	656	286
696	657	285
697	657	284
698	658	283
699	659	282
700	660	281
701	661	280
702	662	279
703	662	278
704	663	277
705	664	276
706	664	275
707	665	274
708	666	273
709	667	272
710	668	271
711	669	270
712	669	269
713	670	268
714	671	267
715	672	266
716	673	265
717	673	264
718	674	263
719	675	262
720	676	261
721	677	260
722	678	259
723	679	258
724	679	257
725	680	256
726	681	255
727	682	254
728	682	253
729	683	252
